npi1,npi2,paircount,benecount,samedaycount
1003029950,1003911058,187,17,5
1003029950,1023069622,107,22,2
1003029950,1053363119,1220,120,502
1003029950,1275869117,62,12,1
1003029950,1659368652,133,13,3
1003029950,1871754473,50,14,2
1003072406,1184665663,19,11,0
1003076571,1417975061,84,16,2
1003170176,1053363119,86,16,29
1003183252,1437368891,47,11,14
1003244435,1720062524,375,46,101
1003803222,1023069622,34,17,9
1003803222,1053363119,305,102,182
1003803222,1497842553,29,11,5
1003803222,1891782074,26,15,17
1003834086,1184665663,29,11,1
1003834136,1063567691,661,134,341
1003834136,1437368891,68,23,1
1003837493,1063567691,135,28,70
1003837493,1265785422,94,11,1
1003838384,1013938729,39,23,9
1003838384,1154312221,74,33,22
1003838384,1417975061,36,19,4
1003838384,1578522694,60,25,13
1003838384,1588699342,14,11,4
1003838384,1861482903,18,16,0
1003838384,1871708297,73,25,29
1003845041,1184665663,118,64,6
1003846197,1093770489,183,22,12
1003846197,1376613208,59,11,2
1003846197,1396705539,1420,50,368
1003860164,1396858155,29,11,18
1003860164,1528062429,33,14,13
1003863671,1033144639,32,13,25
1003863671,1063567691,57,13,21
1003863671,1437368891,413,71,202
1003863671,1558570648,83,33,36
1003872748,1043451180,227,49,69
1003872748,1053458257,68,19,41
1003872748,1083680789,35,12,11
1003872748,1093770489,316,50,49
1003872748,1154375764,55,28,28
1003872748,1154487817,360,104,221
1003872748,1164428371,214,45,12
1003872748,1215913801,42,11,14
1003872748,1275502684,110,25,7
1003872748,1376613208,61,19,2
1003872748,1396705539,2072,299,909
1003872748,1407887763,151,33,26
1003872748,1538458138,83,26,6
1003872748,1548291396,188,43,38
1003872748,1730269341,68,19,8
1003872748,1760427082,37,18,0
1003872748,1770552994,56,26,17
1003872748,1770581084,153,25,59
1003872748,1780676783,222,48,25
1003872748,1790711992,207,38,16
1003872748,1851336176,59,15,0
1003872748,1922205582,246,53,55
1003879693,1396705539,422,29,97
1003879693,1790715886,117,16,6
1003884321,1053363119,235,33,58
1003884321,1669440343,120,21,16
1003893611,1083691612,71,11,3
1003893611,1124005731,141,14,4
1003893611,1437368891,60,12,0
1003893611,1720062524,1387,112,375
1003893611,1770581084,99,15,4
1003893611,1942284765,106,26,39
1003893611,1942307822,104,14,6
1003893611,1982867529,58,34,34
1003911058,1003029950,156,16,0
1003911058,1023069622,210,58,39
1003911058,1053336354,33,12,14
1003911058,1053363119,5938,592,2708
1003911058,1154370781,196,54,29
1003911058,1164532172,46,16,4
1003911058,1184606956,44,11,1
1003911058,1194847186,129,27,7
1003911058,1245226182,109,33,34
1003911058,1245337138,300,50,19
1003911058,1265457022,133,32,30
1003911058,1275558637,22,11,4
1003911058,1275869117,40,12,7
1003911058,1316965692,33,15,11
1003911058,1356334296,85,26,11
1003911058,1376766253,164,45,23
1003911058,1396731238,150,43,32
1003911058,1396919767,47,16,7
1003911058,1417968629,108,23,3
1003911058,1437177714,68,16,8
1003911058,1457340739,47,12,8
1003911058,1497702781,291,54,28
1003911058,1528006020,199,75,10
1003911058,1548287121,89,29,22
1003911058,1588650428,195,57,50
1003911058,1588689368,54,19,6
1003911058,1598754145,63,12,12
1003911058,1649298928,62,18,11
1003911058,1659368652,399,77,37
1003911058,1679569503,46,15,10
1003911058,1679700447,49,11,5
1003911058,1700984275,91,17,3
1003911058,1700998788,217,30,12
1003911058,1720094220,198,49,28
1003911058,1760400790,44,15,1
1003911058,1780622423,51,16,5
1003911058,1780696401,287,49,9
1003911058,1790796977,170,21,2
1003911058,1801806203,151,24,3
1003911058,1811983539,157,51,43
1003911058,1851324941,132,32,11
1003911058,1851387781,136,51,28
1003911058,1871754473,82,20,10
1003911058,1891704409,87,22,18
1003911058,1891782074,142,51,44
1003911058,1902824287,75,19,5
1003911058,1912228115,129,28,14
1003911058,1912911017,77,21,15
1003911058,1912922329,27,12,6
1003911058,1922234343,204,28,7
1003911058,1932304367,79,19,5
1003911058,1952348047,100,29,3
1003911058,1962580480,37,14,13
1003911058,1992147656,48,17,2
1003914391,1104143072,52,16,0
1003914391,1215915590,46,13,2
1003914391,1437368891,109,11,0
1003914391,1699778290,43,13,7
1003914391,1720062524,31,11,1
1003914391,1811091366,78,12,2
1003914391,1891849261,98,22,17
1003914391,1942284765,798,70,248
1003935453,1083691612,59,13,1
1003935453,1124005731,122,27,4
1003935453,1154350569,34,13,6
1003935453,1720062524,643,63,144
1003935453,1720221211,68,25,1
1003935453,1790814291,17,13,9
1003935453,1962526988,41,14,2
1003971037,1386758860,134,17,1
1003971037,1417975061,132,16,6
1003995713,1023153103,76,22,14
1003995713,1053491019,104,18,14
1003995713,1154373769,76,26,41
1003995713,1164537544,83,25,21
1003995713,1184665663,1080,124,314
1003995713,1194980680,141,17,12
1003995713,1225190143,34,12,18
1003995713,1255302717,50,14,15
1003995713,1306010962,130,39,53
1003995713,1306866686,27,11,15
1003995713,1326035809,40,11,10
1003995713,1366641060,43,12,9
1003995713,1447247929,44,18,24
1003995713,1477553139,45,13,6
1003995713,1487799110,94,19,19
1003995713,1508970971,115,28,54
1003995713,1649389503,47,12,19
1003995713,1700991163,127,34,47
1003995713,1740395110,52,20,16
1003995713,1760602866,98,24,14
1003995713,1841305208,68,21,24
1003995713,1881646495,117,38,57
1003995713,1902816820,75,22,18
1003995713,1902943137,50,12,7
1013003938,1083691612,46,12,6
1013003938,1124005731,52,11,3
1013003938,1154350569,20,11,1
1013003938,1720062524,488,42,171
1013003938,1770581084,88,15,14
1013003938,1942307822,42,12,1
1013007640,1053363119,245,40,79
1013007640,1184605313,188,17,18
1013007640,1265460661,238,22,20
1013007640,1528006020,35,13,4
1013007640,1851334346,180,21,16
1013007640,1891715942,121,21,17
1013007640,1952528499,100,15,10
1013030691,1205801586,284,75,151
1013030691,1366443871,71,14,40
1013030691,1417975061,248,137,137
1013030691,1538169321,34,11,18
1013030691,1619077476,31,18,6
1013030691,1861482903,16,11,2
1013037068,1063567691,33,16,20
1013055698,1053363119,20,15,0
1013055698,1528006020,13,12,1
1013059997,1225101041,138,28,43
1013144963,1013905660,49,20,29
1013144963,1053363119,78,13,26
1013144963,1063567691,132,38,70
1013144963,1275794778,35,12,4
1013144963,1437368891,54,18,12
1013144963,1508887019,30,12,17
1013147693,1053363119,25,12,6
1013147693,1205892197,23,21,22
1013147693,1316942048,46,43,46
1013147693,1497783260,28,22,24
1013172584,1225101041,592,151,297
1013172584,1295707826,17,12,1
1013172584,1326275082,15,12,0
1013172584,1437368891,37,19,1
1013172584,1598737397,28,16,0
1013172584,1831446707,20,14,1
1013233758,1023025715,48,20,13
1013233758,1023069622,228,169,177
1013233758,1033146709,25,13,5
1013233758,1043209315,13,12,2
1013233758,1043536949,29,14,1
1013233758,1053336354,24,15,7
1013233758,1053363119,1070,359,410
1013233758,1053418004,71,32,15
1013233758,1083635742,24,14,8
1013233758,1083867592,44,19,5
1013233758,1104188093,27,12,2
1013233758,1114914322,19,17,18
1013233758,1124025507,52,19,0
1013233758,1124054655,49,12,2
1013233758,1134379159,116,49,29
1013233758,1144210303,13,11,5
1013233758,1144245903,47,36,41
1013233758,1154370781,174,103,70
1013233758,1164462834,24,11,2
1013233758,1164532172,38,35,1
1013233758,1174512305,25,11,4
